#OTUID	taxonomy	confidence
000aa4c625ca44264a545475e4eaac86	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group	0.9999722990720987
001904117d0f3a6e2968df105d44cf59	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade IV;Ambiguous_taxa;Ambiguous_taxa	0.9312384571561316
0022c3d0eb4facc1b71295fb4584af78	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Parasphingopyxis;D_6__uncultured bacterium	0.7505911148044643
002ce5608013b41dc0401c8d6d511461	D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9538061519306672
00331b1aa894d31ea9bec352ec4098cd	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;D_5__uncultured marine bacterium;D_6__uncultured marine bacterium	0.9538791909892281
003382d8e58d10947e41babeef5c4895	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae;D_5__Rhodopirellula;D_6__uncultured bacterium	0.8007953094939065
0039a1df180d569309d4de8699a1bdff	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Ectothiorhodospirales;D_4__Ectothiorhodospiraceae;D_5__uncultured;Ambiguous_taxa	0.9999613801509296
00426a8e74ede79ca53932640ee30920	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B);Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	0.999802215035731
00436fbf021945fbb825a140df8cede0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Coxiellales;D_4__Coxiellaceae;D_5__Coxiella	0.9999451418325404
004fbce02db70f48262d9e15a37b1b4c	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae;D_5__uncultured marine archaeon;D_6__uncultured marine archaeon	0.7680975537167369
00798b81c5345dcbd5fdbb577afc3a99	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales;D_4__Simkaniaceae;Ambiguous_taxa;Ambiguous_taxa	0.8454260496052576
007bed420e8f9ec7c7234d0308fbee05	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae;Subclass.Prymnesiophycidae_X;Order.Prymnesiales;Suborder.Prymnesiales_X	0.7458745648426408
007e18b9767da678c4a1aa1da02b7b4c	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade IV;Ambiguous_taxa;Ambiguous_taxa	0.7177686343150723
0081e9b0d2dab7f8c4cd7c336ba791c1	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__KI89A clade;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	0.9999437062559899
00951535e1db88e079420e042b7f1dbc	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__uncultured;D_6__hydrothermal vent metagenome	0.9998531845815702
00969a8f5e78d936aa8180ded524f162	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae	0.9999999999999029
00ae257e9830e4252626cac0e66a63f2	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae;Subclass.Prymnesiophyceae_X;Order.Prymnesiales;Suborder.Prymnesiales_X	0.8203228073663315
00b6bdfc4249004f1dfa8338ec8dfc5d	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;D_5__uncultured marine bacterium;D_6__uncultured marine bacterium	0.7863577268375795
00b9717071d1a931c93d0327504c5b82	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Magnetospiraceae;D_5__uncultured;Ambiguous_taxa	0.8836875443045191
00d506a8a0ffa20e67b18b4e1a3300a0	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.7454401501736688
00daa201b152cc4b1334b68dc49b100f	D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.833665058974631
00e195045bc7a71948ddd450aac34445	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae;Subclass.Prymnesiophyceae_X;Order.Isochrysidales;Suborder.Isochrysidales_X;Family.Noelaerhabdaceae;Genus.Emiliania;Species.Emiliania	0.7703820760819463
01192d308e9adc71cc5de5362e16054f	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Coxiellales;D_4__Coxiellaceae;D_5__Coxiella;D_6__uncultured marine bacterium	0.701463549383032
011fb36711d705d9262c5b1e4c875472	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas	0.9677665414687092
01235daf7fd9f18a22928117ac72bf14	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group;D_6__uncultured marine bacterium	0.9358981636640231
0123c26fc215f2807966372d901357b6	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__uncultured;Ambiguous_taxa	0.9988157738724888
0125a68252bef9495f8b1f9281fb674f	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Dialister	0.9999975780066713
0130d2ca1769567257006de792389681	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae;Subclass.Prymnesiophycidae_X;Order.Prymnesiales;Suborder.Prymnesiales_X	0.8331545482692535
013de55c375439ec661ab6e7dc3ca550	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group;Ambiguous_taxa	0.7469581057016226
013e76d0a6c12392fff896edc23b7163	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade	1.0000000000000007
013f14885feed8802d99421998aaa16e	D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae;D_5__CL500-3;Ambiguous_taxa	0.9998197153940381
01439ea9c9938dfd91d72d782fa56b2d	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9613081219859738
0165de662b0c8b71876d2cef21f7e499	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae;Subclass.Prymnesiophycidae_X;Order.Prymnesiophycidae_XX;Suborder.Prymnesiophycidae_XXX;Family.Prymnesiophycidae_XXXX;Genus.Prymnesiophycidae_XXXXX;Species.Prymnesiophycidae_XXXXX	0.9951272045659478
0177d8a90d7226b54c005ba6c5b32ec3	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Woeseiaceae;D_5__Woeseia;Ambiguous_taxa	0.9273672537395813
01825629ac3414043e4e8823e5ef6f54	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	0.7516355109545579
018a273d6b83d8d47abc4b14496f6d19	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Alcanivoracaceae;D_5__Alcanivorax;D_6__uncultured Alcanivorax sp.	0.7981243780673747
018dedb6f67721c63a7fef8049d8209c	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade	0.9998048235446138
01bb8c49ef3ae9a07a76a751de48aecd	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae;Subclass.Prymnesiophycidae_X;Order.Prymnesiales;Suborder.Prymnesiales_X;Family.Prymnesiaceae;Genus.Prymnesiaceae_X;Species.Prymnesiaceae_X	0.8855931021949656
01ce19b03f11c4c8d902225d65c0aa7e	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	0.7838070343639947
01d894df1064e2b7cf041d836de541ef	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Aureispira;D_6__uncultured Saprospiraceae bacterium	0.9067525406310202
01df0540571500302fe4018301e2c1d5	Kingdom.Eukaryota;Supergroup.Stramenopiles;Phylum.Ochrophyta;Class.Pelagophyceae;Subclass.Pelagophyceae_X;Order.Sarcinochrysidales;Suborder.SarcinochrysidaleX;Family.Sarcinochrysidaceae;Genus.Sarcinochrysidaceae_X;Species.Sarcinochrysidaceae_X	0.9999999999868407
01edd5f402010818928386d6d1df2552	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6	0.9999999987248126
01fe05e2c45be6436fb1d432a6675bc6	Kingdom.Eukaryota;Supergroup.Hacrobia;Phylum.Haptophyta;Class.Prymnesiophyceae	0.9999999999985499
