taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Epsilonbacteraeota,c:Campylobacteria,o:Campylobacterales	16.0000	3402	3418.0	24945	.13638003	.9953
d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	443.0000	438	881.0	24945	.01755862	.4971
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales	20.0000	432	452.0	24945	.01731809	.9557
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031	36.0000	327	363.0	24945	.01310883	.9008
d:Bacteria,p:Acetothermia,c:Acetothermiia,o:uncultured_bacterium		211	211	24945	.00845860	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Falkowbacteria	1.0000	101	102.0	24945	.00404890	.9901
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:uncultured_bacterium	2.0000	85	87.0	24945	.00340749	.9770
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Yanofskybacteria		75	75	24945	.00300661	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Moranbacteria		47	47	24945	.00188414	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:CG1-02-42-13		37	37	24945	.00148326	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Portnoybacteria		34	34	24945	.00136299	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Absconditabacteriales_(SR1)		34	34	24945	.00136299	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:uncultured_bacterium		31	31	24945	.00124273	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kerfeldbacteria	7.0000	29	36.0	24945	.00116255	.8055
d:Bacteria,p:uncultured,c:uncultured_bacterium,o:uncultured_bacterium		29	29	24945	.00116255	1.0000
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:MSBL5	7.0000	23	30.0	24945	.00092202	.7666
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Nealsonbacteria		23	23	24945	.00092202	1.0000
d:Bacteria,p:Spirochaetes,c:Spirochaetia,o:Spirochaetales	452.0000	18	470.0	24945	.00072158	.0382
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:uncultured_organism		17	17	24945	.00068149	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Peregrinibacteria		17	17	24945	.00068149	1.0000
d:Bacteria,p:Aerophobetes,c:uncultured_bacterium,o:uncultured_bacterium	2.0000	15	17.0	24945	.00060132	.8823
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Paceibacterales		13	13	24945	.00052114	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Peribacteria		13	13	24945	.00052114	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:JGI_0000069-P22		11	11	24945	.00044097	1.0000
