taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales	164.0000	77	241.0	18914	.00407105	.3195
d:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales		34	34	18914	.00179761	1.0000
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Flavobacteriales	448.0000	32	480.0	18914	.00169186	.0666
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales	147.0000	18	165.0	18914	.00095167	.1090
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Kaiserbacteria		15	15	18914	.00079306	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales	336.0000	15	351.0	18914	.00079306	.0427
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:SAR202_clade	791.0000	15	806.0	18914	.00079306	.0186
d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales	1.0000	12	13.0	18914	.00063445	.9230
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales	532.0000	11	543.0	18914	.00058157	.0202
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Alteromonadales	2846.0000	11	2857.0	18914	.00058157	.0038
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Portnoybacteria		10	10	18914	.00052870	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade	1586.0000	7	1593.0	18914	.00037009	.0043
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Campbellbacteria		6	6	18914	.00031722	1.0000
d:Bacteria,p:Chloroflexi,c:TK10,o:uncultured_Chloroflexi_bacterium		6	6	18914	.00031722	1.0000
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Chloroplast	1.0000	5	6.0	18914	.00026435	.8333
d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales		5	5	18914	.00026435	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Komeilibacteria		5	5	18914	.00026435	1.0000
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_organism,o:uncultured_organism		5	5	18914	.00026435	1.0000
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Propionibacteriales	423.0000	5	428.0	18914	.00026435	.0116
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Yanofskybacteria		4	4	18914	.00021148	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kerfeldbacteria		4	4	18914	.00021148	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Oceanospirillales	1487.0000	4	1491.0	18914	.00021148	.0026
d:Bacteria,p:Poribacteria,c:hydrothermal_vent_metagenome,o:hydrothermal_vent_metagenome		3	3	18914	.00015861	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales	904.0000	3	907.0	18914	.00015861	.0033
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales	1098.0000	3	1101.0	18914	.00015861	.0027
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales	3.0000	2	5.0	18914	.00010574	.4000
d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales	5.0000	2	7.0	18914	.00010574	.2857
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:PB19	9.0000	2	11.0	18914	.00010574	.1818
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales	12.0000	2	14.0	18914	.00010574	.1428
d:Bacteria,p:Firmicutes,c:Clostridia,o:Thermoanaerobacterales		2	2	18914	.00010574	1.0000
d:Bacteria,p:Acidobacteria,c:Acidobacteriia,o:Acidobacteriales		2	2	18914	.00010574	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bradymonadales	46.0000	2	48.0	18914	.00010574	.0416
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales	141.0000	2	143.0	18914	.00010574	.0139
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_bacterium,o:uncultured_bacterium	500.0000	2	502.0	18914	.00010574	.0039
d:Bacteria,p:Calditrichaeota,c:Calditrichia,o:Calditrichales	1.0000	1	2.0	18914	.00005287	.5000
d:Bacteria,p:Actinobacteria,c:Coriobacteriia,o:Coriobacteriales	1.0000	1	2.0	18914	.00005287	.5000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Paracaedibacterales	3.0000	1	4.0	18914	.00005287	.2500
d:Bacteria,p:Chloroflexi,c:TK10,o:uncultured_bacterium	3.0000	1	4.0	18914	.00005287	.2500
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Piscirickettsiales	5.0000	1	6.0	18914	.00005287	.1666
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:MSBL9	5.0000	1	6.0	18914	.00005287	.1666
d:Bacteria,p:Spirochaetes,c:Spirochaetia,o:Spirochaetales	7.0000	1	8.0	18914	.00005287	.1250
d:Bacteria,p:Thermotogae,c:Thermotogae,o:Thermotogales		1	1	18914	.00005287	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caedibacterales		1	1	18914	.00005287	1.0000
d:Bacteria,p:Poribacteria,c:uncultured_Poribacteria_bacterium,o:uncultured_Poribacteria_bacterium		1	1	18914	.00005287	1.0000
d:Bacteria,p:Poribacteria,c:uncultured_Planctomycetales_bacterium,o:uncultured_Planctomycetales_bacterium		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:uncultured_bacterium		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:GWA2-38-13b		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Wolfebacteria		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Lloydbacteria		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:Berkelbacteria,o:uncultured_bacterium		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Uhrbacteria		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Magasanikbacteria		1	1	18914	.00005287	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Falkowbacteria		1	1	18914	.00005287	1.0000
d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales		1	1	18914	.00005287	1.0000
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Leptolyngbyales		1	1	18914	.00005287	1.0000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031		1	1	18914	.00005287	1.0000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Caldilineales		1	1	18914	.00005287	1.0000
d:Bacteria,p:Acidobacteria,c:Subgroup_20,o:uncultured_bacterium		1	1	18914	.00005287	1.0000
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:Pyrinomonadales		1	1	18914	.00005287	1.0000
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:Blastocatellales		1	1	18914	.00005287	1.0000
d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	13.0000	1	14.0	18914	.00005287	.0714
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Gammaproteobacteria_Incertae_Sedis	25.0000	1	26.0	18914	.00005287	.0384
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales	28.0000	1	29.0	18914	.00005287	.0344
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_bacterium	46.0000	1	47.0	18914	.00005287	.0212
d:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales	64.0000	1	65.0	18914	.00005287	.0153
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:uncultured	77.0000	1	78.0	18914	.00005287	.0128
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_Marinimicrobia_bacterium_HF4000_22B16,o:uncultured_Marinimicrobia_bacterium_HF4000_22B16	89.0000	1	90.0	18914	.00005287	.0111
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Arctic97B-4_marine_group	95.0000	1	96.0	18914	.00005287	.0104
