taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Eukaryota,p:Excavata,c:Discoba,o:Discicristata	312.0000	100	412.0	4360	.02293577	.2427
d:Eukaryota,p:SAR,c:Rhizaria,o:Retaria	1711.0000	34	1745.0	4360	.00779816	.0194
d:Eukaryota,p:SAR,c:Alveolata,o:Ciliophora	50.0000	13	63.0	4360	.00298165	.2063
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Charophyta	23.0000	7	30.0	4360	.00160550	.2333
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Fungi	289.0000	7	296.0	4360	.00160550	.0236
d:Eukaryota,p:SAR,c:Rhizaria,o:Cercozoa	66.0000	4	70.0	4360	.00091743	.0571
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Metazoa_(Animalia)	123.0000	4	127.0	4360	.00091743	.0314
d:Eukaryota,p:SAR,c:Alveolata,o:Protalveolata	331.0000	4	335.0	4360	.00091743	.0119
d:Eukaryota,p:SAR,c:Stramenopiles,o:Ochrophyta	337.0000	4	341.0	4360	.00091743	.0117
d:Eukaryota,p:SAR,c:Alveolata,o:Apicomplexa	7.0000	3	10.0	4360	.00068807	.3000
d:Eukaryota,p:SAR,c:Alveolata,o:Dinoflagellata	67.0000	3	70.0	4360	.00068807	.0428
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured	14.0000	2	16.0	4360	.00045871	.1250
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Flabellinia		2	2	4360	.00045871	1.0000
d:Eukaryota,p:SAR,c:Stramenopiles,o:Bicosoecida	81.0000	2	83.0	4360	.00045871	.0240
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-3	1.0000	1	2.0	4360	.00022935	.5000
d:Eukaryota,p:Centrohelida,c:uncultured_marine_eukaryote,o:uncultured_marine_eukaryote	3.0000	1	4.0	4360	.00022935	.2500
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:Leptomyxida		1	1	4360	.00022935	1.0000
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Choanoflagellida	13.0000	1	14.0	4360	.00022935	.0714
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Chlorophyta	13.0000	1	14.0	4360	.00022935	.0714
d:Eukaryota,p:uncultured_dinoflagellate,c:uncultured_dinoflagellate,o:uncultured_dinoflagellate		0	0	4360	0	0
d:Eukaryota,p:uncultured,c:uncultured_marine_alveolate,o:uncultured_marine_alveolate		0	0	4360	0	0
d:Eukaryota,p:uncultured,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Phaeophyceae		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Pelagophyceae		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Ochrophyta_X		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Eustigmatophyceae		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Dictyochophyceae		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Chrysophyceae-Synurophyceae		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Chrysophyceae		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Bolidophyceae		0	0	4360	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Bacillariophyta		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured_marine_eukaryote		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Placididea		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Peronosporomycetes	5.0000	0	5.0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-9		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-8		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-7		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-6		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-4		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-24		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-23		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-22		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-2		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-16		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-12		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-1	11.0000	0	11.0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Labyrinthulomycetes	7.0000	0	7.0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Incertae_Sedis	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Hyphochytriomycetes		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_marine_dinoflagellate		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_dinoflagellate		0	0	4360	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Incertae_Sedis	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Acavomonidia		0	0	4360	0	0
d:Eukaryota,p:SA1-3C06,c:uncultured_marine_cryptophyte,o:uncultured_marine_cryptophyte		0	0	4360	0	0
d:Eukaryota,p:Picozoa,c:uncultured_picobiliphyte,o:uncultured_picobiliphyte		0	0	4360	0	0
d:Eukaryota,p:Picozoa,c:uncultured_phototrophic_eukaryote,o:uncultured_phototrophic_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Picozoa,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:uncultured_biliphyte		0	0	4360	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:Picomonadidae		0	0	4360	0	0
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Nucleariidae_and_Fonticula_group		0	0	4360	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Ichthyosporea		0	0	4360	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Filasterea		0	0	4360	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Eccrinales	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Opisthokonta,c:Aphelidea,o:uncultured		0	0	4360	0	0
d:Eukaryota,p:Opisthokonta,c:Aphelidea,o:Paraphelidium		0	0	4360	0	0
d:Eukaryota,p:Opisthokonta,c:Aphelidea,o:Aphelidium		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_Telonemida		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_Telonema		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_syndiniales		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Rigifilida,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Palpitomonas,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Palpitomonas,o:marine_microheliozoan_TCS-2002		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:uncultured_fungus		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:Subulatomonas		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:NAMAKO-2		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:Breviata		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:uncultured_marine_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:uncultured_eukaryote	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:uncultured_Apusomonadidae	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Planomonas		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Fabomonas		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Chelonemonas		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Apusomonas		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Amastigomonas	59.0000	0	59.0	4360	0	0
