taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Epsilonbacteraeota,c:Campylobacteria,o:Campylobacterales	78.0000	5462	5540.0	134751	.04053402	.9859
d:Bacteria,p:Planctomycetes,c:Brocadiae,o:Brocadiales		1063	1063	134751	.00788862	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Kaiserbacteria		904	904	134751	.00670867	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:JGI_0000069-P22		272	272	134751	.00201853	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales	322.0000	227	549.0	134751	.00168458	.4134
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ectothiorhodospirales	8165.0000	169	8334.0	134751	.00125416	.0202
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Peribacteria	1.0000	167	168.0	134751	.00123932	.9940
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Magasanikbacteria		164	164	134751	.00121705	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Uhrbacteria		136	136	134751	.00100926	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Peregrinibacteria		132	132	134751	.00097958	1.0000
d:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales	2.0000	121	123.0	134751	.00089795	.9837
d:Bacteria,p:Planctomycetes,c:Pla3_lineage,o:uncultured_planctomycete	3.0000	81	84.0	134751	.00060110	.9642
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales	79.0000	71	150.0	134751	.00052689	.4733
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales	40.0000	66	106.0	134751	.00048979	.6226
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiomicrospirales	35456.0000	63	35519.0	134751	.00046752	.0017
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:uncultured_bacterium		47	47	134751	.00034879	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales	4659.0000	45	4704.0	134751	.00033394	.0095
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Gammaproteobacteria_Incertae_Sedis	90.0000	40	130.0	134751	.00029684	.3076
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales	107.0000	37	144.0	134751	.00027458	.2569
d:Bacteria,p:Patescibacteria,c:WWE3,o:uncultured_Parcubacteria_group_bacterium		31	31	134751	.00023005	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Moranbacteria		23	23	134751	.00017068	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales	1166.0000	23	1189.0	134751	.00017068	.0193
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Flavobacteriales	7075.0000	23	7098.0	134751	.00017068	.0032
d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales	30.0000	22	52.0	134751	.00016326	.4230
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade	8487.0000	22	8509.0	134751	.00016326	.0025
d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales	53.0000	21	74.0	134751	.00015584	.2837
d:Bacteria,p:Fibrobacteres,c:Chitinivibrionia,o:Chitinivibrionales		20	20	134751	.00014842	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfobacterales	468.0000	18	486.0	134751	.00013357	.0370
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Kordiimonadales	144.0000	17	161.0	134751	.00012615	.1055
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Methylococcales	1714.0000	17	1731.0	134751	.00012615	.0098
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Rs-K70_termite_group		16	16	134751	.00011873	1.0000
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Opitutales	463.0000	16	479.0	134751	.00011873	.0334
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_bacterium_MB13C05,o:uncultured_bacterium_MB13C05		15	15	134751	.00011131	1.0000
d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	191.0000	15	206.0	134751	.00011131	.0728
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Campbellbacteria		14	14	134751	.00010389	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Coxiellales	152.0000	14	166.0	134751	.00010389	.0843
d:Bacteria,p:Margulisbacteria,c:uncultured_bacterium,o:uncultured_bacterium	57.0000	13	70.0	134751	.00009647	.1857
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales	256.0000	13	269.0	134751	.00009647	.0483
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:MSBL9	13.0000	12	25.0	134751	.00008905	.4800
d:Bacteria,p:Poribacteria,c:uncultured_bacterium,o:uncultured_bacterium		12	12	134751	.00008905	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Nomurabacteria		12	12	134751	.00008905	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:SAR324_clade(Marine_group_B)	6819.0000	12	6831.0	134751	.00008905	.0017
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Oceanospirillales	969.0000	11	980.0	134751	.00008163	.0112
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Falkowbacteria		10	10	134751	.00007421	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales	307.0000	10	317.0	134751	.00007421	.0315
