taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales	4471.0000	684	5155.0	334279	.00204619	.1326
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade	120266.0000	485	120751.0	334279	.00145088	.0040
d:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales	1.0000	199	200.0	334279	.00059531	.9950
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:PB19	621.0000	179	800.0	334279	.00053548	.2237
d:Bacteria,p:Poribacteria,c:metagenome,o:metagenome		127	127	334279	.00037992	1.0000
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Flavobacteriales	32518.0000	126	32644.0	334279	.00037693	.0038
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SAR86_clade	31150.0000	114	31264.0	334279	.00034103	.0036
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Propionibacteriales	39.0000	113	152.0	334279	.00033804	.7434
d:Bacteria,p:Poribacteria,c:marine_metagenome,o:marine_metagenome		112	112	334279	.00033504	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales	14972.0000	68	15040.0	334279	.00020342	.0045
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:SAR202_clade	6488.0000	53	6541.0	334279	.00015855	.0081
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:SAR324_clade(Marine_group_B)	8906.0000	48	8954.0	334279	.00014359	.0053
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales	7647.0000	39	7686.0	334279	.00011666	.0050
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales	574.0000	37	611.0	334279	.00011068	.0605
d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales	3418.0000	37	3455.0	334279	.00011068	.0107
d:Bacteria,p:Chloroflexi,c:TK10,o:uncultured_Chloroflexi_bacterium	1.0000	30	31.0	334279	.00008974	.9677
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales	122.0000	27	149.0	334279	.00008077	.1812
d:Bacteria,p:Planctomycetes,c:Pla4_lineage,o:uncultured_bacterium	2.0000	24	26.0	334279	.00007179	.9230
