taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ectothiorhodospirales	25.0000	2312	2337.0	330866	.00698772	.9893
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales	3825.0000	1405	5230.0	330866	.00424643	.2686
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade	120684.0000	604	121288.0	330866	.00182551	.0049
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales	542.0000	219	761.0	330866	.00066189	.2877
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:SAR202_clade	5955.0000	210	6165.0	330866	.00063469	.0340
d:Bacteria,p:Poribacteria,c:metagenome,o:metagenome		179	179	330866	.00054100	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales	624.0000	139	763.0	330866	.00042010	.1821
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales	15785.0000	137	15922.0	330866	.00041406	.0086
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales	1555.0000	130	1685.0	330866	.00039290	.0771
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Flavobacteriales	25692.0000	123	25815.0	330866	.00037175	.0047
d:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales	1.0000	115	116.0	330866	.00034757	.9913
d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	598.0000	108	706.0	330866	.00032641	.1529
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales	7860.0000	105	7965.0	330866	.00031734	.0131
d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales	380.0000	102	482.0	330866	.00030828	.2116
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SAR86_clade	21756.0000	96	21852.0	330866	.00029014	.0043
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales	693.0000	67	760.0	330866	.00020249	.0881
d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Actinomarinales	11671.0000	65	11736.0	330866	.00019645	.0055
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfobacterales	226.0000	63	289.0	330866	.00019040	.2179
d:Bacteria,p:Poribacteria,c:marine_metagenome,o:marine_metagenome		52	52	330866	.00015716	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Peregrinibacteria		50	50	330866	.00015111	1.0000
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_bacterium,o:uncultured_bacterium	8993.0000	50	9043.0	330866	.00015111	.0055
d:Bacteria,p:Poribacteria,c:uncultured_Poribacteria_bacterium,o:uncultured_Poribacteria_bacterium		48	48	330866	.00014507	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:SAR324_clade(Marine_group_B)	8568.0000	46	8614.0	330866	.00013902	.0053
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Synechococcales	12306.0000	46	12352.0	330866	.00013902	.0037
d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales	105.0000	45	150.0	330866	.00013600	.3000
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Chloroplast	1808.0000	42	1850.0	330866	.00012693	.0227
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales	183.0000	39	222.0	330866	.00011787	.1756
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:MSBL9	18.0000	37	55.0	330866	.00011182	.6727
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales	1095.0000	37	1132.0	330866	.00011182	.0326
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_marine_bacterium,o:uncultured_marine_bacterium	5289.0000	33	5322.0	330866	.00009973	.0062
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:uncultured	2374.0000	32	2406.0	330866	.00009671	.0133
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_Candidatus_Marinimicrobia_bacterium,o:uncultured_Candidatus_Marinimicrobia_bacterium	76.0000	31	107.0	330866	.00009369	.2897
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales	5069.0000	31	5100.0	330866	.00009369	.0060
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales	29.0000	30	59.0	330866	.00009067	.5084
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales	371.0000	30	401.0	330866	.00009067	.0748
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales	523.0000	29	552.0	330866	.00008764	.0525
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Opitutales	1426.0000	28	1454.0	330866	.00008462	.0192
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales	1111.0000	27	1138.0	330866	.00008160	.0237
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Coxiellales	544.0000	26	570.0	330866	.00007858	.0456
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Gammaproteobacteria_Incertae_Sedis	133.0000	25	158.0	330866	.00007555	.1582
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Rs-K70_termite_group	1.0000	23	24.0	330866	.00006951	.9583
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales	187.0000	22	209.0	330866	.00006649	.1052
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031	33.0000	21	54.0	330866	.00006346	.3888
d:Bacteria,p:GAL15,c:uncultured_bacterium,o:uncultured_bacterium		21	21	330866	.00006346	1.0000
d:Bacteria,p:Actinobacteria,c:Rubrobacteria,o:Rubrobacterales		19	19	330866	.00005742	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:MBNT15	8.0000	18	26.0	330866	.00005440	.6923
d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales	41.0000	18	59.0	330866	.00005440	.3050
