taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Eukaryota,p:SAR,c:Alveolata,o:Dinoflagellata	9180.0000	1118	10298.0	74551	.01499644	.1085
d:Eukaryota,p:SAR,c:Alveolata,o:Protalveolata	20969.0000	893	21862.0	74551	.01197837	.0408
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Metazoa_(Animalia)	15262.0000	740	16002.0	74551	.00992609	.0462
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Charophyta	985.0000	661	1646.0	74551	.00886641	.4015
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Fungi	1850.0000	370	2220.0	74551	.00496304	.1666
d:Eukaryota,p:SAR,c:Alveolata,o:Ciliophora	1215.0000	351	1566.0	74551	.00470818	.2241
d:Eukaryota,p:Excavata,c:Discoba,o:Discicristata	1053.0000	259	1312.0	74551	.00347413	.1974
d:Eukaryota,p:SAR,c:Stramenopiles,o:Ochrophyta	2402.0000	192	2594.0	74551	.00257541	.0740
d:Eukaryota,p:SAR,c:Rhizaria,o:Cercozoa	1847.0000	170	2017.0	74551	.00228031	.0842
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Chlorophyta	1266.0000	156	1422.0	74551	.00209252	.1097
d:Eukaryota,p:SAR,c:Rhizaria,o:Retaria	3985.0000	118	4103.0	74551	.00158280	.0287
d:Eukaryota,p:SAR,c:Stramenopiles,o:Labyrinthulomycetes	284.0000	88	372.0	74551	.00118039	.2365
d:Eukaryota,p:SAR,c:Alveolata,o:Apicomplexa	160.0000	82	242.0	74551	.00109991	.3388
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured	1221.0000	79	1300.0	74551	.00105967	.0607
d:Eukaryota,p:Excavata,c:Discoba,o:Jakobida	785.0000	53	838.0	74551	.00071092	.0632
d:Eukaryota,p:SAR,c:Stramenopiles,o:Peronosporomycetes	119.0000	35	154.0	74551	.00046947	.2272
d:Eukaryota,p:SAR,c:Stramenopiles,o:Incertae_Sedis	209.0000	35	244.0	74551	.00046947	.1434
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Flabellinia	70.0000	32	102.0	74551	.00042923	.3137
d:Eukaryota,p:SAR,c:Stramenopiles,o:Bicosoecida	76.0000	26	102.0	74551	.00034875	.2549
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Choanoflagellida	114.0000	24	138.0	74551	.00032192	.1739
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Amastigomonas	31.0000	22	53.0	74551	.00029509	.4150
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-3	442.0000	21	463.0	74551	.00028168	.0453
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Longamoebia	38.0000	20	58.0	74551	.00026827	.3448
d:Eukaryota,p:Centrohelida,c:uncultured_marine_eukaryote,o:uncultured_marine_eukaryote	234.0000	16	250.0	74551	.00021461	.0640
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-1	237.0000	14	251.0	74551	.00018779	.0557
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-12	29.0000	13	42.0	74551	.00017437	.3095
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Bangiales	16.0000	11	27.0	74551	.00014754	.4074
d:Eukaryota,p:Cryptophyceae,c:Kathablepharidae,o:uncultured	38.0000	11	49.0	74551	.00014754	.2244
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Nucleariidae_and_Fonticula_group	16.0000	7	23.0	74551	.00009389	.3043
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Prymnesiales	882.0000	7	889.0	74551	.00009389	.0078
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Eccrinales	3.0000	6	9.0	74551	.00008048	.6666
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Cryptomonas	8.0000	6	14.0	74551	.00008048	.4285
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-16	9.0000	6	15.0	74551	.00008048	.4000
d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	13.0000	6	19.0	74551	.00008048	.3157
