Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,nominal_length,Organism,Platform,ReleaseDate,Run_ID,sample_acc,Sample Name,SRA Study
SRR7608423,WGS,302,5308517646,PRJNA467756,SAMN09201538,Metagenome or environmental,2165176679,JGI,2016-11-14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4473296,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYZT,PAIRED,other,METAGENOMIC,5308,2064,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12213,SRS3598656,Gp0266651,SRP155385
SRR7608731,WGS,302,7179999868,PRJNA467757,SAMN09201302,Metagenome or environmental,3120803017,JGI,2016-11-10,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4473604,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYZU,PAIRED,other,METAGENOMIC,7179,2976,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12213,SRS3598964,Gp0266652,SRP155391
SRR7608832,WGS,302,6424234902,PRJNA467758,SAMN09201684,Metagenome or environmental,2875115975,JGI,2016-10-07,public,sra,"ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4473705,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYZW,PAIRED,other,METAGENOMIC,6424,2741,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12213,SRS3599065,Gp0266653,SRP155398
SRR7608833,WGS,302,7805644812,PRJNA467759,SAMN09201441,Metagenome or environmental,3425158305,JGI,2016-09-26,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4473706,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYZX,PAIRED,other,METAGENOMIC,7805,3266,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12213,SRS3599066,Gp0266654,SRP155399
SRR7609143,WGS,302,5990380192,PRJNA467760,SAMN09201685,Metagenome or environmental,2436222821,JGI,2016-11-07,public,sra,"s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4474016,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYZY,PAIRED,other,METAGENOMIC,5990,2323,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12213,SRS3599365,Gp0266655,SRP155406
SRR7609163,WGS,302,8013377022,PRJNA467762,SAMN09202075,Metagenome or environmental,3571732255,JGI,2016-10-11,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4474036,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGXPP,PAIRED,other,METAGENOMIC,8013,3406,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599370,Gp0266657,SRP155407
SRR7609166,WGS,302,6844779566,PRJNA467761,SAMN09201537,Metagenome or environmental,3217039011,JGI,2016-10-11,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4474039,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGXPO,PAIRED,other,METAGENOMIC,6844,3068,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599371,Gp0266656,SRP155408
SRR7609344,WGS,302,5810730358,PRJNA467763,SAMN09201536,Metagenome or environmental,2644294179,JGI,2016-10-10,public,sra,"ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4474187,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGXPS,PAIRED,other,METAGENOMIC,5810,2521,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599464,Gp0266658,SRP155413
SRR7609361,WGS,302,7118809232,PRJNA467764,SAMN09201535,Metagenome or environmental,3238420477,JGI,2016-10-11,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4474204,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGXPT,PAIRED,other,METAGENOMIC,7118,3088,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599483,Gp0266659,SRP155419
SRR7609362,WGS,302,7178048646,PRJNA467765,SAMN09201686,Metagenome or environmental,3277461026,JGI,2016-10-13,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4474205,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCBY,PAIRED,other,METAGENOMIC,7178,3125,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599484,Gp0266660,SRP155420
