Sample name	Cruise series	GEOTRACES section	Cruise ID	Cruise Station	Collection Date	Depth (m)	env_biome	env_feature	env_material	geo_loc_name	Latitude and Longitude	Bottle ID	NCBI BioProject	NCBI SRA Study	NCBI BioSample	NCBI SRA Accession	Total read pairs	NCBI SRA Accession for assembled metagenome contigs	Assembly method and version
S0001	GEOTRACES	GA02	PE319	10	2010-05-10T12:13:00	10	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	631397	PRJNA385854	SRP110813	SAMN07136483	SRR5788236	20058749	SRZ187206	metaSPAdes v3.9.0
S0002	GEOTRACES	GA02	PE319	10	2010-05-10T12:13:00	50	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	631391	PRJNA385854	SRP110813	SAMN07136484	SRR5788235	29418997	SRZ187207	metaSPAdes v3.9.0
S0003	GEOTRACES	GA02	PE319	10	2010-05-10T12:13:00	75	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	631388	PRJNA385854	SRP110813	SAMN07136485	SRR5788238	28686315	SRZ187208	metaSPAdes v3.9.0
S0004	GEOTRACES	GA02	PE319	10	2010-05-10T12:13:00	101	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	631385	PRJNA385854	SRP110813	SAMN07136486	SRR5788237	30938631	SRZ187209	metaSPAdes v3.9.0
S0005	GEOTRACES	GA02	PE319	10	2010-05-10T12:13:00	152	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	631382	PRJNA385854	SRP110813	SAMN07136487	SRR5788232	25991174	SRZ187210	metaSPAdes v3.9.0
S0006	GEOTRACES	GA02	PE319	10	2010-05-10T12:13:00	199	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	631379	PRJNA385854	SRP110813	SAMN07136488	SRR5788231	21561486	SRZ187211	metaSPAdes v3.9.0
S0008	GEOTRACES	GA02	PE319	12	2010-05-12T20:39:00	10	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	631829	PRJNA385854	SRP110813	SAMN07136489	SRR5788234	25267615	SRZ187212	metaSPAdes v3.9.0
S0009	GEOTRACES	GA02	PE319	12	2010-05-12T20:39:00	49	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	631823	PRJNA385854	SRP110813	SAMN07136490	SRR5788233	26551896	SRZ187213	metaSPAdes v3.9.0
S0010	GEOTRACES	GA02	PE319	12	2010-05-12T20:39:00	73	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	631820	PRJNA385854	SRP110813	SAMN07136491	SRR5788230	25920948	SRZ187214	metaSPAdes v3.9.0
S0011	GEOTRACES	GA02	PE319	12	2010-05-12T20:39:00	100	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	631817	PRJNA385854	SRP110813	SAMN07136492	SRR5788229	33506457	SRZ187215	metaSPAdes v3.9.0
S0012	GEOTRACES	GA02	PE319	12	2010-05-12T20:39:00	153	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	631814	PRJNA385854	SRP110813	SAMN07136493	SRR5788436	25967480	SRZ187216	metaSPAdes v3.9.0
S0013	GEOTRACES	GA02	PE319	12	2010-05-12T20:39:00	198	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	631811	PRJNA385854	SRP110813	SAMN07136494	SRR5788435	28657562	SRZ187217	metaSPAdes v3.9.0
S0015	GEOTRACES	GA02	PE319	16	2010-05-20T13:30:00	8	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	632891	PRJNA385854	SRP110813	SAMN07136495	SRR5788434	24265082	SRZ187218	metaSPAdes v3.9.0
S0016	GEOTRACES	GA02	PE319	16	2010-05-20T13:30:00	50	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	632885	PRJNA385854	SRP110813	SAMN07136496	SRR5788433	24656118	SRZ187219	metaSPAdes v3.9.0
S0017	GEOTRACES	GA02	PE319	16	2010-05-20T13:30:00	74	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	632882	PRJNA385854	SRP110813	SAMN07136497	SRR5788432	23071938	SRZ187220	metaSPAdes v3.9.0
S0018	GEOTRACES	GA02	PE319	16	2010-05-20T13:30:00	102	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	632879	PRJNA385854	SRP110813	SAMN07136498	SRR5788431	21337686	SRZ187221	metaSPAdes v3.9.0
S0019	GEOTRACES	GA02	PE319	16	2010-05-20T13:30:00	151	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	632876	PRJNA385854	SRP110813	SAMN07136499	SRR5788430	24669237	SRZ187222	metaSPAdes v3.9.0
S0020	GEOTRACES	GA02	PE319	16	2010-05-20T13:30:00	199	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	632873	PRJNA385854	SRP110813	SAMN07136500	SRR5788429	17147643	SRZ187223	metaSPAdes v3.9.0
S0021	GEOTRACES	GA02	PE319	15	2010-05-18T13:22:00	10	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	632459	PRJNA385854	SRP110813	SAMN07136501	SRR5788428	23533825	SRZ187224	metaSPAdes v3.9.0
S0022	GEOTRACES	GA02	PE319	15	2010-05-18T13:22:00	52	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	632453	PRJNA385854	SRP110813	SAMN07136502	SRR5788427	23735638	SRZ187225	metaSPAdes v3.9.0
S0023	GEOTRACES	GA02	PE319	15	2010-05-18T13:22:00	75	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	632450	PRJNA385854	SRP110813	SAMN07136503	SRR5788371	23089410	SRZ187226	metaSPAdes v3.9.0
S0024	GEOTRACES	GA02	PE319	15	2010-05-18T13:22:00	103	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	632447	PRJNA385854	SRP110813	SAMN07136504	SRR5788372	24224072	SRZ187227	metaSPAdes v3.9.0
S0025	GEOTRACES	GA02	PE319	15	2010-05-18T13:22:00	151	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	632444	PRJNA385854	SRP110813	SAMN07136505	SRR5788369	26113050	SRZ187228	metaSPAdes v3.9.0
S0026	GEOTRACES	GA02	PE319	15	2010-05-18T13:22:00	201	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	632441	PRJNA385854	SRP110813	SAMN07136506	SRR5788370	24657052	SRZ187229	metaSPAdes v3.9.0
S0027	GEOTRACES	GA02	PE319	17	2010-05-21T13:30:00	10	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	632129	PRJNA385854	SRP110813	SAMN07136507	SRR5788367	50998999	SRZ187230	metaSPAdes v3.9.0
S0028	GEOTRACES	GA02	PE319	17	2010-05-21T13:30:00	50	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	632123	PRJNA385854	SRP110813	SAMN07136508	SRR5788368	29124395	SRZ187231	metaSPAdes v3.9.0
S0029	GEOTRACES	GA02	PE319	17	2010-05-21T13:30:00	77	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	632120	PRJNA385854	SRP110813	SAMN07136509	SRR5788365	36118801	SRZ187232	metaSPAdes v3.9.0
S0030	GEOTRACES	GA02	PE319	17	2010-05-21T13:30:00	103	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	632117	PRJNA385854	SRP110813	SAMN07136510	SRR5788366	27750917	SRZ187233	metaSPAdes v3.9.0
S0031	GEOTRACES	GA02	PE319	17	2010-05-21T13:30:00	152	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	632114	PRJNA385854	SRP110813	SAMN07136511	SRR5788373	31928726	SRZ187234	metaSPAdes v3.9.0
S0032	GEOTRACES	GA02	PE319	17	2010-05-21T13:30:00	199	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	632111	PRJNA385854	SRP110813	SAMN07136512	SRR5788374	30029518	SRZ187235	metaSPAdes v3.9.0
S0033	GEOTRACES	GA02	PE321	33	2010-06-26T12:25:00	9	ocean_biome	ocean	water	Atlantic Ocean	13.1623 N 53.4215 W	636587	PRJNA385854	SRP110813	SAMN07136513	SRR5788197	23050701	SRZ187236	metaSPAdes v3.9.0
S0034	GEOTRACES	GA02	PE321	33	2010-06-26T12:25:00	75	ocean_biome	ocean	water	Atlantic Ocean	13.1623 N 53.4215 W	636578	PRJNA385854	SRP110813	SAMN07136514	SRR5788196	26335287	SRZ187237	metaSPAdes v3.9.0
