sample	K00855	K01601	K01602	K14468	K08691	K14470	K09709	K15039	K15016	K15230	K15231	K03519	K03518	K00320	K14083	K00577	K03390	K05979	K06034	K08097	K13039	K10944	K00370	K00371	K00367	K00372	K00362	K00363	K00368	K15864	K04561	K02305	K00376	K00374	K02567	K02568	K00394	K00395	K11181	K00436	Genome.Size	Gene.Count	sample.y	station	filtersize	Date	Ocean	Depth	Longitude	Latitude	Salinity	T.pot	O2	AOU	WSDW	CDW	NADW_2	NADW_4.6	NADW	AAIW	SAMW	WATERMASS	Basin
MP0103	0.03654636820466	0.011877569666514	0	0	0	0.002740977615349	0.02603928734582	0	0.021014161717679	0	0	0.273640931932389	0.246231155778895	0.14070351758794	0.149383280036546	0	0.002284148012791	0.019186843307446	0.050251256281407	0.010050251256281	0.116948378254911	0.007309273640932	0.033348560986752	0.00776610324349	0	0.056190041114664	0.068524440383737	0.031064412973961	0.030607583371403	0	0	0.011420740063956	0	0	0	0	0.079488350845135	0.028323435358611	0	0	640352391	3246100	103	7	0.2	23/12/10	Atlantic	-4005	-23.45	21.51	34.8951	2.0182	228.6143	102.1064	0	0.0849	0.904	0.0112	0.9151	0	0	NADW	Canary basin
MP0104	0.215291750503018	0	0	0	0.012072434607646	0	0	0	0	0	0	0.169014084507042	0.132796780684105	0	0	0	0	0	0	0	0	0	0.012072434607646	0.014084507042254	0	0.301810865191147	0.323943661971831	0.124748490945674	0	0	0	0.060362173038229	0	0.002012072434608	0	0	0.372233400402414	0.150905432595573	0	0	474895456	2405471	104	7	0.8	23/12/10	Atlantic	-4005	-23.45	21.51	34.8951	2.0182	228.6143	102.1064	0	0.0849	0.904	0.0112	0.9151	0	0	NADW	Canary basin
MP0144	0.057692307692308	0	0	0	0	0	0	0	0	0	0	0.112637362637363	0.043956043956044	0	0	0	0	0	0	0	0	0	0	0.021978021978022	0	0.263736263736264	0.335164835164835	0.054945054945055	0	0	0	0.063186813186813	0	0	0	0	0.134615384615385	0.04945054945055	0	0	365930654	1888316	144	10	0.8	26/12/10	Atlantic	-4002	-26	14.52	34.8948	2.0429	216.9404	113.577	0	0.0931	0.9069	0	0.9069	0	0	NADW	Canary basin
MP0145	0.018538713195202	0	0	0	0	0	0.013086150490731	0	0.015267175572519	0	0	0.076335877862595	0.104689203925845	0.082878953107961	0.164667393675027	0.004362050163577	0	0	0.019629225736096	0	0.017448200654308	0	0.083969465648855	0.017448200654308	0	0.019629225736096	0.053435114503817	0.022900763358779	0.005452562704471	0	0	0.025081788440567	0	0	0	0	0.030534351145038	0.00763358778626	0	0	289050856	1493594	145	10	0.2	26/12/10	Atlantic	-4002	-26	14.52	34.8948	2.0429	216.9404	113.577	0	0.0931	0.9069	0	0.9069	0	0	NADW	Canary basin
MP0203	0.158346333853354	0	0	0	0	0	0.021840873634945	0	0.014040561622465	0	0	0.1801872074883	0.153666146645866	0.073322932917317	0.162246489859594	0	0	0.009360374414977	0.025741029641186	0	0.03198127925117	0.010920436817473	0.139625585023401	0.06786271450858	0	0.329953198127925	0.310452418096724	0.117004680187208	0.00390015600624	0	0.009360374414977	0.00390015600624	0.00390015600624	0.037441497659906	0.00390015600624	0	0.049921996879875	0.017940717628705	0	0	358314989	1761591	203	13	0.8	29/12/10	Atlantic	-4003	-26	7.33	34.8901	2.0165	231.2535	99.4941	0	0.1131	0.8869	0	0.8869	0	0	NADW	Canary basin
MP0204	0.04753282028067	0.002263467632413	0	0	0	0	0.012222725215029	0	0.014938886373925	0	0	0.132186509732911	0.106835672249887	0.111362607514713	0.125848800362155	0	0	0.013580805794477	0.026256224535989	0.002716161158895	0.054775916704391	0	0.06337709370756	0.019465821638751	0	0.097329108193753	0.103666817564509	0.050701674966048	0.047985513807153	0	0.009959257582617	0.023540063377094	0.002716161158895	0.008601177003169	0	0	0.086917157084654	0.031235853327297	0	0.002263467632413	683169021	3510191	204	13	0.2	29/12/10	Atlantic	-4003	-26	7.33	34.8901	2.0165	231.2535	99.4941	0	0.1131	0.8869	0	0.8869	0	0	NADW	Canary basin
MP0261	0.119083969465649	0	0	0	0	0	0	0	0	0	0	0.169465648854962	0.141984732824427	0	0	0	0	0	0	0	0	0	0.087022900763359	0.074809160305344	0	0.312977099236641	0.386259541984733	0.109923664122137	0	0	0.038167938931298	0.123664122137405	0.056488549618321	0.019847328244275	0.033587786259542	0.033587786259542	0.141984732824427	0.065648854961832	0	0	649491169	3375450	261	17	0.8	02/01/11	Atlantic	-4002	-27.33	-3.03	34.8676	1.7369	236.0128	97.1188	0.1098	0.0786	0.8115	0	0.8115	0	0	NADW	Brazil basin
MP0262	0.093093093093093	0	0	0	0	0	0.039039039039039	0	0.006006006006006	0	0	0.453453453453454	0.372372372372372	0.048048048048048	0.288288288288288	0.003003003003003	0	0.039039039039039	0.039039039039039	0	0.117117117117117	0.204204204204204	0.009009009009009	0	0	0.156156156156156	0.201201201201201	0.066066066066066	0.261261261261261	0	0.012012012012012	0.09009009009009	0.021021021021021	0	0.024024024024024	0	0.117117117117117	0	0	0	442589715	2307280	262	17	0.2	02/01/11	Atlantic	-4002	-27.33	-3.03	34.8676	1.7369	236.0128	97.1188	0.1098	0.0786	0.8115	0	0.8115	0	0	NADW	Brazil basin
MP0326	0.105343511450382	0	0	0	0	0	0.035114503816794	0	0.010687022900763	0	0	0.083969465648855	0.024427480916031	0	0	0	0	0	0	0	0	0	0.021374045801527	0.00763358778626	0	0.16793893129771	0.184732824427481	0.074809160305344	0	0	0	0.03969465648855	0	0.00763358778626	0	0	0.158778625954198	0.068702290076336	0	0	628946250	3285360	326	20	0.8	05/01/11	Atlantic	-4001	-30.19	-9.12	34.8447	1.5802	227.6145	106.8922	0.1712	0.1184	0.7104	0	0.7104	0	0	NADW	Brazil basin
MP0327	0.02601377199694	0.008416220351951	0	0	0	0.000765110941086	0.041315990818669	0	0.033664881407804	0	0	0.279265493496557	0.255547054322877	0.122417750573833	0.141545524100995	0	0	0.019127773527161	0.02371843917368	0	0.118592195868401	0.012241775057383	0.006120887528692	0.000765110941086	0	0.067329762815608	0.06044376434583	0.032899770466718	0.005355776587605	0	0.001530221882173	0.02601377199694	0	0	0	0	0.090283091048202	0.02601377199694	0	0	399191487	2020100	327	20	0.2	05/01/11	Atlantic	-4001	-30.19	-9.12	34.8447	1.5802	227.6145	106.8922	0.1712	0.1184	0.7104	0	0.7104	0	0	NADW	Brazil basin
