PARAMETER	Sample ID	Sample ID	Sample ID	Station label	Event label	Environmental feature	Depth, nominal	Depth, top/min	Depth, bottom/max	Size fraction, lower threshold	Size fraction, upper threshold	Sample material	Sample method	Sample code/label	Analysis ID	Analysis method	Analysis method	Analysis method	Analysis label	Analysis ID	Analysis ID	Analysis label	Uniform resource locator/link to metadata file	Uniform resource locator/link to metadata file
915	TARA_Y100000052	SAMEA2620198	ERS489047	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_041_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000052	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABCIOSF_r1	ERX552259	ERR594295	run_ANB_ABCIOSF_3_D074KACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594295/ERR594295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594295/ERR594295_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594295
916	TARA_Y100000015	SAMEA2619935	ERS488722	TARA_036	TARA_20100312T0606Z_036_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_036_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100312T0606Z_036_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000015	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABDIOSF_r1	ERX552247	ERR594334	run_ANB_ABDIOSF_4_D074KACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594334/ERR594334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594334/ERR594334_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594334
917	TARA_Y100000289	SAMEA2620004	ERS488803	TARA_038	TARA_20100315T0335Z_038_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_038_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100315T0335Z_038_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000289	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABEIOSF_r1	ERX552267	ERR594330	run_ANB_ABEIOSF_4_D074KACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594330/ERR594330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594330/ERR594330_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594330
918	TARA_Y100000033	SAMEA2620065	ERS488879	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_039_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100318T0427Z_039_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000033	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABFIOSF_r1	ERX552289	ERR594327	run_ANB_ABFIOSF_4_D074KACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594327/ERR594327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594327/ERR594327_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594327
919	TARA_Y100000004	SAMEA2619888	ERS488658	TARA_034	TARA_20100120T0427Z_034_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_034_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100120T0427Z_034_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000004	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABGIOSF_r1	ERX552240	ERR594328	run_ANB_ABGIOSF_1_C077RACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594328/ERR594328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594328/ERR594328_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594328
920	TARA_Y100000310	SAMEA2619974	ERS488773	TARA_037	TARA_20100313T0507Z_037_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	596	605	0.1	0.22	TARA_037_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MES_(600m)_SEQ-(dry)_W0.1-0.22_Y100000310	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABHIOSF_r1	ERX552294	ERR594290	run_ANB_ABHIOSF_1_C0D1JACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594290/ERR594290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594290/ERR594290_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594290
921	TARA_Y100000310	SAMEA2619974	ERS488773	TARA_037	TARA_20100313T0507Z_037_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	596	605	0.1	0.22	TARA_037_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MES_(600m)_SEQ-(dry)_W0.1-0.22_Y100000310	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABHIOSF_r1	ERX552299	ERR594345	run_ANB_ABHIOSF_7_C077RACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594345/ERR594345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594345/ERR594345_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594345
922	TARA_Y100000296	SAMEA2620039	ERS488853	TARA_038	TARA_20100316T0614Z_038_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	340	332	350	0.1	0.22	TARA_038_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MES_(340m)_SEQ-(dry)_W0.1-0.22_Y100000296	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABIIOSF_r1	ERX552273	ERR594312	run_ANB_ABIIOSF_2_C077RACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594312/ERR594312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594312/ERR594312_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594312
923	TARA_Y100000034	SAMEA2620106	ERS488945	TARA_039	TARA_20100320T0817Z_039_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	270	262	280	0.1	0.22	TARA_039_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MES_(270m)_SEQ-(dry)_W0.1-0.22_Y100000034	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABKIOSF_r1	ERX552263	ERR594346	run_ANB_ABKIOSF_2_C077RACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594346/ERR594346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594346/ERR594346_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594346
924	TARA_Y100000114	SAMEA2620413	ERS489324	TARA_048	TARA_20100419T0756Z_048_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_048_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100419T0756Z_048_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000114	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABLIOSF_r1	ERX552245	ERR594314	run_ANB_ABLIOSF_3_C077RACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594314/ERR594314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594314/ERR594314_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594314
