Sample ID (TARA_barcode#, registered at ...)	Sample ID (BioSamples accession number (...)	Sample ID (ENA sample accession number (...)	Basis	Campaign	Station (TARA_station#, registered at ...)	Method/Device	Event	Date/Time	Latitude	Longitude	Env feature ([abbreviation], full name (EN...)	Depth, nominal (from which this sample was co...)	Depth top [m] (from which this sample was co...)	Depth bot [m] (from which this sample was co...)	Fraction lower [µm] (used on board to prepare samp...)	Fraction upper [µm] (used on board to prepare samp...)	Sample material (TARA_station#_environmental-f...)	Sample method (short label describing the ta...)	Sample label (TARA_event-datetime_station#_...)	Env feature (about the thickness of the la...)	Env feature (about the pelagic zone (e.g. ...)	Env feature (about the light environment (...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Env feature (about vertical stratification...)	Env feature (about connectivity with the b...)	Env feature (about other information provi...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Kd490 [1/m] (at the sampling location and ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	bbp470 [1/m] ((443 nm) at the sampling loca...)	acCDOM [1/m] ((443 nm) at the sampling loca...)	Kd(PAR) [1/m] (Kd(PAR)1 is calculated for a ...)	Kd(PAR) [1/m] (Kd(PAR)2 is calculated for a ...)	z(SD) [m] (Measured in situ)	z(eu) [m] (at the sampling location for ...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	UMLD [m] (based on sigma theta, calcula...)	UMLD [m] (based on temperature, calcula...)	D chl m [m] (calculated from in situ senso...)	Depth max Brunt Väisälä freq [m] (calculated from in situ senso...)	Depth max O2 [m] (calculated from in situ senso...)	Depth min O2 [m] (calculated from in situ senso...)	Depth nitracline [m] (calculated from in situ senso...)	Temp [°C] (at a depth of 10 m, below the...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of maximum chlor...)	Temp [°C] (at the depth of maximum Brunt...)	Temp [°C] (at the depth of maximum oxyge...)	Temp [°C] (at the depth of minimum oxyge...)	Temp [°C] (at the depth of the nitraclin...)	Sal (at a depth of 10 m, below the...)	Sal (at the base of the euphotic z...)	Sal (at the base of the euphotic z...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of maximum chlor...)	Sal (at the depth of maximum Brunt...)	Sal (at the depth of maximum oxyge...)	Sal (at the depth of minimum oxyge...)	Sal (at the depth of the nitraclin...)	Sigma-theta [kg/m**3] (at a depth of 10 m, below the...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of maximum chlor...)	Sigma-theta [kg/m**3] (at the depth of maximum Brunt...)	Sigma-theta [kg/m**3] (at the depth of maximum oxyge...)	Sigma-theta [kg/m**3] (at the depth of minimum oxyge...)	Sigma-theta [kg/m**3] (at the depth of the nitraclin...)	N**2 [1/s**2] (at a depth of 10 m, below the...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of maximum chlor...)	N**2 [1/s**2] (at the depth of maximum Brunt...)	N**2 [1/s**2] (at the depth of maximum oxyge...)	N**2 [1/s**2] (at the depth of minimum oxyge...)	N**2 [1/s**2] (at the depth of the nitraclin...)	Chl a [mg/m**3] (at a depth of 10 m, below the...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of maximum chlor...)	Chl a [mg/m**3] (at the depth of maximum Brunt...)	Chl a [mg/m**3] (at the depth of maximum oxyge...)	Chl a [mg/m**3] (at the depth of minimum oxyge...)	Chl a [mg/m**3] (at the depth of the nitraclin...)	OXYGEN [µmol/kg] (at a depth of 10 m, below the...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of maximum chlor...)	OXYGEN [µmol/kg] (at the depth of maximum Brunt...)	OXYGEN [µmol/kg] (at the depth of maximum oxyge...)	OXYGEN [µmol/kg] (at the depth of minimum oxyge...)	OXYGEN [µmol/kg] (at the depth of the nitraclin...)	[NO3]- [µmol/l] (at a depth of 10 m, below the...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of maximum chlor...)	[NO3]- [µmol/l] (at the depth of maximum Brunt...)	[NO3]- [µmol/l] (at the depth of maximum oxyge...)	[NO3]- [µmol/l] (at the depth of minimum oxyge...)	[NO3]- [µmol/l] (at the depth of the nitraclin...)
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_X000000263	SAMEA2619376	ERS487899	SV Tara	TARA_20090913Z	TARA_004	High Volume Peristaltic Pump	TARA_20090915T1130Z_004_EVENT_PUMP	2009-09-15T11:30	36.5533	-6.5669	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_004_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20090915T1130Z_004_EVENT_PUMP_SRF_(9m)_SEQ-(100L)_W0.22-1.6_X000000263	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	within <50 m from the sea floor (ENVO:00000482)	none	none	none	none	0.058326	0.059238	0.052473	0.052525704726577	0.071556583046913	0.001593126275111	0.026317091658711	0.106677467	0.089301924		64.1495132446289		43	51	15	12	36	25				20.5251	16.1933	15.9909	20.0358	20.3294	16.6441	17.9307				36.8078	36.7551	36.7507	36.6463	36.7432	36.751	36.6982				25.8724	26.9258	26.9698	25.8815	25.8761	26.8164	26.4633					8.6801E-05	3.4353E-05	0.00029402	1.7872E-05	0.00018139	0.00041038					0.73824	0.4074	0.0855		0.6828	0.2472																							
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_X000000368	SAMEA2619399	ERS487936	SV Tara	TARA_20090913Z	TARA_004	High Volume Peristaltic Pump	TARA_20090915T1800Z_004_EVENT_PUMP	2009-09-15T18:00	36.5533	-6.5669	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	35	45	0.22	1.6	TARA_004_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20090915T1800Z_004_EVENT_PUMP_DCM_(40m)_SEQ-(100L)_W0.22-1.6_X000000368	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	<10 m from a strong peak in chlorophyll fluorescence	none	within <50 m from the sea floor (ENVO:00000482)	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location	0.058326	0.059238	0.052473	0.052525704726577	0.071556583046913	0.001593126275111	0.026317091658711	0.106677467	0.089301924		64.1495132446289		43	51	10	11	38	36				20.062			20.062	19.8893	16.3155	16.5164				36.8034			36.8034	36.8117	36.7123	36.6631				25.9934			25.9934	26.0454	26.8645	26.7795				0.00046008			0.00046008	0.00050963		0.00041641				0.11981			0.11981	0.12737	0.87627	0.86454																							
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A200000113	SAMEA2591057	ERS477931	SV Tara	TARA_20090919Z	TARA_007	High Volume Peristaltic Pump	TARA_20090923T1250Z_007_EVENT_PUMP	2009-09-23T12:50	37.051	1.9378	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_007_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(dry)_W0.22-1.6_A200000113	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	<50 m from a strong peak in chlorophyll fluorescence	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.030849	0.038482490926981	0.055206760764122	0.000931073212996	0.01599707454443	0.069260649	0.054238712		79.045539855957		62	79	26	18	43	45				23.8058	15.4374	14.7312	23.4678	23.609	17.4561	17.2				37.6813	37.8316	38.2432	37.539	37.6083	37.3886	37.4687				25.5991	27.9258	28.4015	25.5931	25.6031	27.1076	27.2318				0.00022384	0.00033235	0.00022781	1.9667E-05	2.6333E-05	0.00060866	0.00050511				0.0874	0.23278	0.10034	0.16304	0.13496	0.3406	0.34752																							
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A200000159	SAMEA2591074	ERS477953	SV Tara	TARA_20090919Z	TARA_007	High Volume Peristaltic Pump	TARA_20090923T1608Z_007_EVENT_PUMP	2009-09-23T16:08	37.0541	1.9478	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	42	37	47	0.22	1.6	TARA_007_DCM_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090923T1608Z_007_EVENT_PUMP_DCM_(42m)_SEQ-(dry)_W0.22-1.6_A200000159	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	coinciding with a strong peak in chlorophyll fluorescence	<50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.030849	0.038482490926981	0.054726887494326	0.001095998217352	0.015977572649717	0.069260649	0.054238712		79.045539855957		62	79	26	18	43	45				23.8058	15.4374	14.7312	23.4678	23.609	17.4561	17.2				37.6813	37.8316	38.2432	37.539	37.6083	37.3886	37.4687				25.5991	27.9258	28.4015	25.5931	25.6031	27.1076	27.2318				0.00022384	0.00033235	0.00022781	1.9667E-05	2.6333E-05	0.00060866	0.00050511				0.0874	0.23278	0.10034	0.16304	0.13496	0.3406	0.34752																							
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_X000000950	SAMEA2619531	ERS488119	SV Tara	TARA_20090926Z	TARA_009	High Volume Peristaltic Pump	TARA_20090928T1218Z_009_EVENT_PUMP	2009-09-28T12:18	39.1633	5.916	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_009_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090928T1218Z_009_EVENT_PUMP_SRF_(9m)_SEQ-(dry)_W0.22-1.6_X000000950	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	none		0.03177	0.025809	0.033618379384279	0.051492471247912	0.0008666573558	0.010766908060759	0.056132898	0.042174196		91.0887298583984		79	105	25	25	54	35					14.4442	14.0989		13.6436	14.7076	15.8022	24.5247	37.9844	39.1664	37.9866	38.086	38.598	29.4705	25.6379	25.6379	27.7169	26.7269			0.0011193	28.3441	28.8142			7.4252E-05	0.00021596	0.00027561		0.0058	0.5266	0.00018944	0.00015257									0.2733	0.15436												135	75	55	5								38.8826	38.0369	37.7068	37.9866	
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_X000001036	SAMEA2619548	ERS488147	SV Tara	TARA_20090926Z	TARA_009	High Volume Peristaltic Pump	TARA_20090928T1659Z_009_EVENT_PUMP	2009-09-28T16:59	39.0609	5.9422	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	55	50	60	0.22	1.6	TARA_009_DCM_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090928T1659Z_009_EVENT_PUMP_DCM_(55m)_SEQ-(dry)_W0.22-1.6_X000001036	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	none			0.025043	0.034093089401722	0.052652571350336	0.000859297026182	0.010566988028586	0.053832106	0.040070687		89.5312423706055		81	109			56	25					14.4782	13.8803			16.1738	23.8526					38.36	38.7232			38.046	38.1555					28.5474	28.958			27.9193	25.9438					9.2896E-05	9.7634E-05			0.00025527						0.279	0.1127			0.44356																								
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_X000001316	SAMEA2619625	ERS488253	SV Tara	TARA_20090926Z	TARA_011	High Volume Peristaltic Pump	TARA_20091004T0830Z_011_EVENT_PUMP	2009-10-04T08:30	41.6686	2.7996	[SRF] surface water layer (ENVO:00010504)	9	3	15	<0.22	0.22	TARA_011_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091004T0830Z_011_EVENT_PUMP_SRF_(9m)_SEQ-(FeCl3)_W<0.22_X000001316	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	none				0.035875644534826	0.091991320252419	0.000247067364398	0.027277639135718				85.0287857055664																																																																																
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100000164	SAMEA2619667	ERS488330	SV Tara	TARA_20091031Z	TARA_018	High Volume Peristaltic Pump	TARA_20091102T0813Z_018_EVENT_PUMP	2009-11-02T08:13	35.759	14.2574	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_018_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091102T0813Z_018_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_A100000164	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location	0.02991	0.03126	0.031431	0.035637054592371	0.0539013389498	0.000874041463248	0.014775042422116	0.070597463	0.055473669		85.6965141296387		58	74	51	51	80	61	60	221		21.4377	18.5634	17.7042	21.3917	21.3917	17.3068	18.3717	18.4911	14.9102		38.0718	38.0166	38.2445	38.0867	38.0867	38.2292	38.0556	38.0271	38.9802		26.5793	27.3102	27.7015	26.6057	26.6057	27.7882	27.3889	27.3367	28.9327		1.31E-07	0.0002916	0.00022728	0.00030591	0.00030591	0.0001228	0.00041091	0.00038565	3.6974E-05		0.040949	0.11833	0.13968	0.095584	0.095584	0.15669	0.1192	0.11833	0.024273		207.3977	237.5724	233.0098	216.861	216.861	229.754	238.4871	238.1586	184.7443											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100000171	SAMEA2619677	ERS488340	SV Tara	TARA_20091031Z	TARA_018	High Volume Peristaltic Pump	TARA_20091102T0813Z_018_EVENT_PUMP	2009-11-02T08:13	35.759	14.2574	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_018_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091102T0813Z_018_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_A100000171	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location	0.02991	0.03126	0.031431	0.035637054592371	0.0539013389498	0.000874041463248	0.014775042422116	0.070597463	0.055473669		85.6965141296387		58	74	51	51	80	61	60	221		21.4377	18.5634	17.7042	21.3917	21.3917	17.3068	18.3717	18.4911	14.9102		38.0718	38.0166	38.2445	38.0867	38.0867	38.2292	38.0556	38.0271	38.9802		26.5793	27.3102	27.7015	26.6057	26.6057	27.7882	27.3889	27.3367	28.9327		1.31E-07	0.0002916	0.00022728	0.00030591	0.00030591	0.0001228	0.00041091	0.00038565	3.6974E-05		0.040949	0.11833	0.13968	0.095584	0.095584	0.15669	0.1192	0.11833	0.024273		207.3977	237.5724	233.0098	216.861	216.861	229.754	238.4871	238.1586	184.7443											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_S200000501	SAMEA2619678	ERS488346	SV Tara	TARA_20091031Z	TARA_018	High Volume Peristaltic Pump	TARA_20091102T1407Z_018_EVENT_PUMP	2009-11-02T14:07	35.7528	14.2765	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	0.22	1.6	TARA_018_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091102T1407Z_018_EVENT_PUMP_DCM_(60m)_SEQ-(100L)_W0.22-1.6_S200000501	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	<50 m from a strong peak in chlorophyll fluorescence	near the base of a marine epipelagic wind mixed layer (ENVO:01000061)	none	shallowest of two similar environmental features	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location	0.02991	0.03126	0.031431	0.035905798897147	0.054332526400685	0.000863025314175	0.014998222701252	0.070597463	0.055473669		84.9423522949219		58	74	31	50	82	60	58	580		21.486	21.194	18.119	21.4271	21.3424	16.9299	18.0323	18.2811	13.9188		38.0758	38.1052	38.1489	38.091	38.1091	38.2224	37.9679	37.9801	38.9647		26.5688	26.6749	27.5242	26.598	26.6364	27.875	27.4078	27.3542	29.1512		1.9963E-05	0.00018358	0.00021336	1.0151E-05	0.00018858	6.5342E-05	0.00026597	0.00053764	1.71E-07		0.066985	0.091086	0.1372	0.071333	0.085029	0.1733	0.13685	0.13444	0		209.0069	218.7818	237.5691	208.6297	210.0882	231.5733	240.7859	240.2034	174.0543											
